create at,tweet,categorize,sentiment,retweet,favorite
2019-06-07 13:26:23,"#BBCNews: ""#LGBT row: 'Homophobic protests must stop'."" But on the radio:  ""#homophobia is illegal in this country""… https://t.co/PI6jmfryB4",politic,negative,0,0
2019-06-07 13:26:19,"RT @lauraJEDsmiley: Jedward's New Album
- VOICE OF A REBEL
out 27 June.
Yeaaaaaaahh! :) 
@BBC @BBCR1 @BBCBreaking @BBCWorld @BBCNews #bbcne…",politic,positive,2,0
2019-06-07 13:25:15,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:25:01,Professor Jordan Peterson declares “Islam is not compatible with democracy” amid #Canada’s battle for free speech… https://t.co/b595IhBtSs,politic,positive,0,0
2019-06-07 13:23:25,https://t.co/BfxbA8Pk28 will those people who blindly misunderstood the complexity of brexit get ready to apologize… https://t.co/Uvaow1XVAS,politic,negative,0,0
2019-06-07 13:22:30,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 13:22:05,"#bbcnews 
#skynews 
#c4news 
#politicslive 
😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂😂😂😂😂

Daily Express headlines a few days ago 

Brexit… https://t.co/gD6tUVinCe",tech,negative,0,0
2019-06-07 13:21:40,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:21:15,"#bbcnews So, Boris Johnson gets off in the High Court. What a surprise? Seems, there's one law for the Eaton tuck s… https://t.co/jHNCybCWb5",politic,positive,0,0
2019-06-07 13:20:58,"RT @LelJoyce: #bbcnews #BallVJohnson #BorisJohnson 

Marcus Ball when he heard the High Court had thrown out his private prosecution of Bor…",education,positive,4,0
2019-06-07 13:20:32,RT @BriefcaseMike: BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for the by…,business,negative,21,0
2019-06-07 13:18:13,#bbcnews Reporter correct in saying the third party-Lib-Dems have a hard time in first past the post voting system.… https://t.co/Un4na3PGmo,business,negative,0,0
2019-06-07 13:17:02,"Switched on #BBCNews who had a reporter live in Peterborough, a brief mention that Jeremy Corbyn being their 2 hour… https://t.co/bWRJ83OWTU",education,positive,0,1
2019-06-07 13:16:54,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:15:16,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:15:07,Grotesque behaviour #bbcnews #skynews https://t.co/jnIsmfoz9o,business,negative,0,0
2019-06-07 13:14:31,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:14:01,"@AndrewCrompto13 @JessPhantasm @LBC @Nigel_Farage Actual facts in your universe are ‘rubbish’?

You sound like that… https://t.co/okDJUM74mn",politic,positive,0,1
2019-06-07 13:13:49,BBC's Iain Watson telling viewers that dastardly Labour brought activists from other places into Peterborough for t… https://t.co/uRqsqq1x3l,business,negative,21,47
2019-06-07 13:08:46,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 13:07:10,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 13:07:10,RT @BriefcaseMike: No doubt Farage planned his stupid stunt of handing in a letter to No 10 when he thought he would win the Peterborough b…,politic,positive,14,0
2019-06-07 13:06:49,"#Corbyn getting exited about scraping home from a party only formed a few weeks ago , the man is deluded #bbcnews  #skynews",education,negative,0,0
2019-06-07 13:05:46,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 13:04:30,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 13:04:25,#bbcnews #skynews Tony Robinson and Time Team have been called in to investigate the real age of Vince Cable https://t.co/e3geRCQlvb,politic,positive,0,0
2019-06-07 13:04:11,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 13:04:04,#News Parkland shooting: Should school officer be jailed for child neglect? #BreakingNews #bbcnews… https://t.co/sbSdSi14k0,education,neutral,0,0
2019-06-07 13:01:06,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 12:59:04,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:55:53,RT @againsthecondem: @jeremybrier With all the media attacking #Corbyn &amp; #Labour we're still moving in the right direction to win a #Genera…,politic,positive,1,0
2019-06-07 12:55:13,"So having fees for non-approved overdrafts will be capped. In other words, the #creditjunkies and #debtaholics bene… https://t.co/FBbwwryJgF",politic,negative,2,2
2019-06-07 12:54:04,"#bbcnews - Brexit: Boris Johnson £350m claim case thrown out by judges
https://t.co/QUtctR6MGd

BUT DID OUR FUTURE… https://t.co/XtYNtbDwS0",politic,neutral,0,0
2019-06-07 12:53:51,@jeremybrier With all the media attacking #Corbyn &amp; #Labour we're still moving in the right direction to win a… https://t.co/NpB4kCQX27,politic,positive,1,3
2019-06-07 12:53:17,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:51:15,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 12:50:03,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:46:24,RT @BriefcaseMike: No doubt Farage planned his stupid stunt of handing in a letter to No 10 when he thought he would win the Peterborough b…,politic,positive,14,0
2019-06-07 12:45:51,Anyway who is this peng ting Tara from the  BBC news? ❤🔥🔥 if anyone finds her @ let me know so I can add her to my… https://t.co/uEnZzPYcRw,politic,neutral,0,0
2019-06-07 12:45:36,"RT @WWA_Awareness: Another year and another slaughter 

Dogs heading to the Yulin dog meat festival that begins on June 21 in Yulin, China…",politic,neutral,63,0
2019-06-07 12:45:25,RT @WillBlackWriter: Labour winning the Peterborough #byelection and the Tories (who the BBC shamelessly supports) wasn't even the third or…,politic,positive,26,0
2019-06-07 12:43:23,"RT @WWA_Awareness: The Yulin festival is celebrated annually in Yulin, Guangxi, China, during the summer solstice on June 21, by eating dog…",politic,positive,16,0
2019-06-07 12:40:48,"RT @NatLG_Spark: These 9 future @guidedogs life-changers were born on 75th anniversary of D-Day, &amp; named in honour of another generation of…",business,neutral,2,0
2019-06-07 12:40:34,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:40:24,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:35:45,"State of the Nation June 2019

#jeremycorbyn #bbcwato #labourparty #labour #bbcnews #guardian #c4news  #skynews… https://t.co/e9iLpeJhBR",politic,neutral,0,0
2019-06-07 12:35:04,#News Model aircraft pilots angry over drone laws #BreakingNews #bbcnews https://t.co/EuczdHzL2Z https://t.co/Xz2P94fMut,tech,negative,0,0
2019-06-07 12:35:03,"UK Net Zero Emissions Target Will ‘Cost More Than £1 Trillion’ https://t.co/6myJFZWbvt yes, you will be even more h… https://t.co/SftHgfaQe7",politic,positive,1,1
2019-06-07 12:34:16,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 12:34:15,"Omg this is when the massacre start, 

why is there no news coverage for the innocent people in Sudan having a peac… https://t.co/PcqsDN7KTy",politic,positive,0,0
2019-06-07 12:32:41,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:31:35,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:31:09,"@AndrewCrompto13 @JessPhantasm @LBC @Nigel_Farage No need to be a drama queen. Just do what the majority of living,… https://t.co/H4ndjtN78B",business,neutral,0,2
2019-06-07 12:29:43,"So the #PeterboroughByElection result has already slipped from the number one news slot in less than 12 hours.

If… https://t.co/FoRDct1Iuw",politic,negative,0,2
2019-06-07 12:28:53,@kate_edmonds_EU @tfoale @BBCr4today @JLR_News @OwenPaterson @BBCNews Do you think the #bbcnews editorial team are… https://t.co/OeuGe6kCIc,politic,neutral,0,2
2019-06-07 12:28:53,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:28:20,"RT @petersweb2018: Is this a step backwards in technology, or is technology moving too fast?

https://t.co/QzZ7wuHUGg
#bbcnews #ArtificialI…",business,positive,1,0
2019-06-07 12:27:26,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:26:57,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:26:33,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:24:23,#BBCNews - #Birmingham #LGBT (#Parkfield school) row: 'Homophobic protests must stop' https://t.co/e2nQcsq6rU,education,neutral,0,0
2019-06-07 12:23:18,"RT @adiskype: #ForTheMany🌈

#BBCNews #wato
#Peterborough:
"" @jeremycorbyn #LabourParty's meagre win by 30%""

Fact: #Brexit result/52%-48%
#…",politic,positive,1,0
2019-06-07 12:23:06,"#ForTheMany🌈

#BBCNews #wato
#Peterborough:
"" @jeremycorbyn #LabourParty's meagre win by 30%""

Fact: #Brexit result… https://t.co/vGyyPKt3uk",politic,positive,1,2
2019-06-07 12:22:25,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:20:58,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:20:21,RT @garyclipson: @JamesMelville Can't wait to see this on #bbcnews tonight.,politic,neutral,4,0
2019-06-07 12:19:46,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:19:46,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 12:19:31,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 12:19:00,"Breaking News:
#BBCNews - #Brexit: #BorisJohnson £350m claim case thrown out by judges @mollygiles2015 
#skynews… https://t.co/BbbdRa3caG",politic,neutral,0,0
2019-06-07 12:18:45,#bbcnews implying that #Labour won in the #PeterboroughByElection because Labour is 'strong' in the area. It's a li… https://t.co/AGzaV8vdj0,business,positive,0,1
2019-06-07 12:17:57,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:17:05,"Is this a step backwards in technology, or is technology moving too fast?

https://t.co/QzZ7wuHUGg
#bbcnews… https://t.co/HrJoSdpqxH",business,positive,1,1
2019-06-07 12:16:30,"So does that mean we will get £350M a week for the #NHS?
Thought not
All that has happened is the scale of lies tha… https://t.co/J2enJiAQ0Z",politic,negative,0,0
2019-06-07 12:15:54,RT @BriefcaseMike: No doubt Farage planned his stupid stunt of handing in a letter to No 10 when he thought he would win the Peterborough b…,politic,positive,14,0
2019-06-07 12:15:07,RT @EliasMichalas: Tommy Robinson punches England fan in sickening attack at Nations League game https://t.co/dANjQvNPiW #lbc #fbpe #conser…,politic,negative,3,0
2019-06-07 12:14:02,"#bbcnews #BallVJohnson #BorisJohnson 

Marcus Ball when he heard the High Court had thrown out his private prosecut… https://t.co/K0Gbt8p3NT",education,positive,4,2
2019-06-07 12:13:07,"@mrjamesob @OliDugmore To me, this shows just how complicit the BBC has been in facilitating Farage. If he had this… https://t.co/19YhH8EYRn",politic,neutral,0,0
2019-06-07 12:12:42,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 12:12:29,#Brexit #BrexitBetrayal #bbcnews #bbcnewsnight #BBCQT #bbctw #BBCbias #itvnews #EUelections2019    #NoDealBrexit… https://t.co/ydlZuVOgPH,politic,neutral,0,0
2019-06-07 12:11:56,#BBCNews Farage appears unhappy that Labour activists are active and campaigned in Peterborough ... rather than dis… https://t.co/YnCOju2Ce5,politic,negative,1,1
2019-06-07 12:11:36,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 12:11:00,"@jamesak47 @Jo_Coburn @benhabib6 @brexitparty_uk Because it is the @bbcnews editorial ""stance"" that #brexit is the… https://t.co/m3M93g9Dcv",politic,neutral,0,0
2019-06-07 12:10:29,#bbcnews wheels out blatant Tory John Curtice once again!,politic,negative,0,2
2019-06-07 12:09:27,RT @nja5: While Theresa May steps down as tory leader today Larry the cat is in charge until the tories pick a new leader. #bbcnews #skynew…,politic,negative,2,0
2019-06-07 12:09:22,Tommy Robinson punches England fan in sickening attack at Nations League game https://t.co/dANjQvNPiW #lbc #fbpe… https://t.co/ic5iuuuZEv,politic,negative,3,4
2019-06-07 12:08:29,"RT @nja5: The BBC reporter iain Watson says nigel farage kept a low profile at the Peterborough bye election count, #labour #bbcnews #polit…",business,neutral,4,0
2019-06-07 12:08:17,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 12:08:17,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:06:43,@AndrewCrompto13 @JessPhantasm @LBC @Nigel_Farage 87% of the 2 million young people who can now vote since 2016 wou… https://t.co/YpBHdwT9jT,politic,positive,0,3
2019-06-07 12:06:43,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:06:00,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:05:17,"I thoroughly DESPAIR at #BrexitParty voters.
Don’t you #Nigel_Farage fans see what you’re doing?
You’ll let in… https://t.co/Pi2xpxTjVn",politic,neutral,0,2
2019-06-07 12:04:34,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 12:03:03,"RT @borisflats: ""I have in my hand a piece of paper...."" #PoliticsLive #BBCqt #bbcnews #Newsnight #victorialive #BrexitParty #faragethefrau…",education,neutral,1,0
2019-06-07 12:01:20,"When I told Peterborough to 'make the by-election their D-Day' I didn't mean 'defeat the far-right fascists', says… https://t.co/X9o9aJk33k",politic,positive,0,0
2019-06-07 12:00:32,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 11:59:27,RT @wepaidinupayout: #bbcnews I found out about my 6 year #pension age increase via social media at the age of 58 do you really think this…,politic,positive,40,0
2019-06-07 11:58:32,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 11:56:05,"Thankful for this outcome, I’m just sorry 9 years were spent in prison. Well wishes for a new start! 

#trial… https://t.co/cRoXesJE3d",education,negative,0,7
2019-06-07 11:55:41,RT @nja5: While Theresa May steps down as tory leader today Larry the cat is in charge until the tories pick a new leader. #bbcnews #skynew…,politic,negative,2,0
2019-06-07 11:54:22,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 11:53:53,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 11:52:48,"#bbcnews
#BBCbias
#skynews
#r4today
#c4news

Seems as though Israel journalists have more guts that UK gutter trash… https://t.co/WlzjeMX29V",politic,positive,0,0
2019-06-07 11:52:25,"RT @Lord_Drainlid: #bbcnews presenters, reporters and editors are highly paid since Supremo Lord Haw Hall says they are in a competitive ma…",business,positive,1,0
2019-06-07 11:51:41,"""I have in my hand a piece of paper...."" #PoliticsLive #BBCqt #bbcnews #Newsnight #victorialive #BrexitParty… https://t.co/Vmh2pDYYyg",politic,neutral,1,1
2019-06-07 11:51:36,"#bbcnews presenters, reporters and editors are highly paid since Supremo Lord Haw Hall says they are in a competiti… https://t.co/nNbyLnrOHx",business,positive,1,0
2019-06-07 11:51:12,"RT @pelling_laura: Oh for the love of God Humphrys. Now it's 'Labour scraped by' making it sound like they won with about 10 votes, rather…",politic,positive,191,0
2019-06-07 11:51:04,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 11:50:36,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 11:48:57,And so the cancer spreads everywhere...everywhere..8 times on bbc channels this week..8 times...something smelly go… https://t.co/SOOO2d3DGw,business,neutral,0,0
2019-06-07 11:48:34,"RT @James_Martin_86: Spot the difference!!! 

But let's never suggest there's any bias at all. Nope. None at all. 

#indyref2
#bbcqt
#bbcne…",politic,neutral,38,0
2019-06-07 11:48:29,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 11:48:10,"Trump clone full of sound and signifying nothing

As such exceedingly dangerous ..

#jeremycorbyn #bbcwato… https://t.co/TMLCa937sg",politic,positive,0,0
2019-06-07 11:47:38,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
2019-06-07 11:47:15,"RT @ArgyleLoz: I think the people of Peterborough coupled with a victory for Lisa Forbes and @UKLabour have seriously pissed off the MSM, i…",business,negative,172,0
